"Package","Version","Source"
"splines","4.6.0","cran"
"splitfngr","0.1.2","cran"
"SQUAREM","2026.1","cran"
"StanHeaders","2.32.10","cran"
"stars","0.7-2","cran"
"stats","4.6.0","cran"
"stats4","4.6.0","cran"
"stringdist","0.9.17","cran"
"stringi","1.8.7","cran"
"stringr","1.6.0","cran"
"styler","1.11.0","cran"
"survival","3.8-6","cran"
"svglite","2.2.2","cran"
"svUnit","1.0.8","cran"
"sys","3.4.3","cran"
"systemfonts","1.3.2","cran"
"tailor","0.1.0","cran"
"tarchetypes","0.14.1","cran"
"targets","1.12.0","cran"
"tcltk","4.6.0","cran"
"tensor","1.5.1","cran"
"tensorA","0.36.2.1","cran"
"terra","1.9-11","cran"
"testthat","3.3.2","cran"
"textshaping","1.0.5","cran"
"threejs","0.3.4","cran"
"tibble","3.3.1","cran"
"tidybayes","3.0.7","cran"
"tidymodels","1.5.0","cran"
"tidyr","1.3.2","cran"
"tidyselect","1.2.1","cran"
"tidytext","0.4.3","cran"
"tidyverse","2.0.0","cran"
"timechange","0.4.0","cran"
"timeDate","4052.112","cran"
"tinytex","0.59","cran"
"tmap","4.3","cran"
"tmaptools","3.3","cran"
"tokenizers","0.3.0","cran"
"tools","4.6.0","cran"
"torch","0.17.0","cran"
"transformr","0.1.5","cran"
"tune","2.1.0","cran"
"tweenr","2.0.3","cran"
"tzdb","0.5.0","cran"
"units","1.0-1","cran"
"urca","1.3-4","cran"
"urlchecker","1.0.1","cran"
"usethis","3.2.1","cran"
"utf8","1.2.6","cran"
"utils","4.6.0","cran"
"uuid","1.2-2","cran"
"uvr","0.1.2","github::nbafrank/uvr-r"
"V8","8.2.0","cran"
"vctrs","0.7.3","cran"
"viridis","0.6.5","cran"
"viridisLite","0.4.3","cran"
"vroom","1.7.1","cran"
"waldo","0.6.2","cran"
"warp","0.2.3","cran"
"whisker","0.4.1","cran"
"whitebox","2.4.3","cran"
"withr","3.0.2","cran"
"wk","0.9.5","cran"
"workflows","1.3.0","cran"
"workflowsets","1.1.1","cran"
"xfun","0.57","cran"
"xgboost","3.2.1.1","cran"
"XML","3.99-0.23","cran"
"xml2","1.5.2","cran"
"xmlparsedata","1.0.5","cran"
"xopen","1.0.1","cran"
"xtable","1.8-8","cran"
"xts","0.14.2","cran"
"yaml","2.3.12","cran"
"yardstick","1.4.0","cran"
"yesno","0.1.3","cran"
"yyjsonr","0.1.22","cran"
"zip","2.3.3","cran"
"zoo","1.8-15","cran"
